epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
62,183.451,1.28787,0.18134,0.45177,0.59622,0.02758,6.56191,0.87223,0.97959,0.95839,0.47106,0.87223,0.97959,0.95839,0.95207,1.67504,0.08146,0.13237,0.57697,0.0365,0,0.0005974,0.0005974,0.0005974
63,186.226,1.31561,0.13737,0.53453,0.59317,0.02535,6.63812,0.8702,0.95779,0.95343,0.49829,0.8702,0.95779,0.95343,0.94853,1.60861,0.06857,0.12714,0.606,0.03414,0,0.0005908,0.0005908,0.0005908
64,188.992,1.25861,0.13466,0.44959,0.57869,0.02559,6.41079,0.9179,0.91837,0.96024,0.52092,0.9179,0.91837,0.96024,0.95526,1.52176,0.06449,0.11947,0.56686,0.03116,0,0.0005842,0.0005842,0.0005842
65,191.761,1.25408,0.15712,0.48178,0.65549,0.02459,6.14842,0.93734,0.91592,0.96263,0.58044,0.93734,0.91592,0.96435,0.95909,1.35945,0.07383,0.11573,0.51011,0.02669,0,0.0005776,0.0005776,0.0005776
66,194.533,1.18705,0.10013,0.43686,0.5353,0.02374,5.88337,0.88865,0.97725,0.96709,0.59033,0.88865,0.97725,0.96709,0.95943,1.28542,0.09037,0.11177,0.47015,0.02529,0,0.000571,0.000571,0.000571
67,197.282,1.25928,0.15105,0.43923,0.50176,0.02471,6.24033,0.88884,0.9791,0.96511,0.58748,0.88884,0.9791,0.96511,0.95659,1.30479,0.09103,0.1088,0.46627,0.02644,0,0.0005644,0.0005644,0.0005644
68,200.065,1.29025,0.12132,0.35744,0.52245,0.02568,5.83993,0.93068,0.91837,0.96395,0.53987,0.93068,0.91837,0.96395,0.95492,1.47533,0.10583,0.1093,0.54146,0.03201,0,0.0005578,0.0005578,0.0005578
69,202.835,1.25711,0.09893,0.40159,0.48796,0.02596,5.91994,0.8888,0.9787,0.96346,0.47085,0.8888,0.9787,0.96346,0.95419,1.70154,0.09783,0.11259,0.54735,0.03743,0,0.0005512,0.0005512,0.0005512
70,205.601,1.25951,0.09102,0.42674,0.52398,0.02547,6.20463,0.88865,0.97725,0.96087,0.45398,0.88865,0.97725,0.96087,0.95107,1.77994,0.08817,0.11382,0.55424,0.03891,0,0.0005446,0.0005446,0.0005446
71,208.344,1.24864,0.06901,0.38303,0.51649,0.02535,5.70673,0.88174,0.95918,0.95739,0.44402,0.88174,0.95918,0.94662,0.94662,1.78795,0.08596,0.11306,0.54477,0.03769,0,0.000538,0.000538,0.000538
