epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,106.066,0.81542,0.56238,1.08699,0.95563,0.979,0.99009,0.78088,0.76818,0.535,0.98055,0.000406,0.000406,0.000406
92,107.223,0.80812,0.56631,1.0955,0.95569,0.98033,0.98991,0.81189,0.70736,0.51524,0.94664,0.0003994,0.0003994,0.0003994
93,108.356,0.78369,0.58084,1.08392,0.94537,0.9697,0.98771,0.81519,0.66421,0.52112,0.95842,0.0003928,0.0003928,0.0003928
94,109.467,0.78322,0.55985,1.08676,0.92563,0.94297,0.98441,0.78819,0.71356,0.54529,0.99062,0.0003862,0.0003862,0.0003862
95,110.613,0.80144,0.56539,1.07803,0.93661,0.9697,0.98532,0.80255,0.67178,0.51642,0.96397,0.0003796,0.0003796,0.0003796
96,111.743,0.73806,0.5568,1.04964,0.95519,0.96889,0.97329,0.82179,0.59619,0.51028,0.92015,0.000373,0.000373,0.000373
97,112.858,0.79471,0.56086,1.08448,0.92784,0.98485,0.98072,0.82048,0.62665,0.54124,0.92797,0.0003664,0.0003664,0.0003664
98,113.975,0.76152,0.52265,1.04845,0.92584,0.9697,0.97932,0.78465,0.76155,0.57103,0.97411,0.0003598,0.0003598,0.0003598
99,115.106,0.78472,0.54623,1.06961,0.93904,0.95455,0.97648,0.77804,0.76754,0.55593,0.97568,0.0003532,0.0003532,0.0003532
100,116.224,0.7986,0.57227,1.07417,0.94003,0.95004,0.98265,0.81301,0.67668,0.53035,0.93443,0.0003466,0.0003466,0.0003466
101,117.359,0.75433,0.56834,1.07959,0.91529,0.98236,0.98548,0.82611,0.62997,0.50537,0.92287,0.00034,0.00034,0.00034
102,118.477,0.78351,0.57862,1.0789,0.93774,0.98485,0.98681,0.81367,0.63191,0.47705,0.93178,0.0003334,0.0003334,0.0003334
103,119.59,0.75126,0.5443,1.07682,0.95323,0.98485,0.98849,0.82733,0.62298,0.44669,0.92569,0.0003268,0.0003268,0.0003268
104,120.709,0.73086,0.51931,1.05358,0.95582,0.98334,0.98952,0.82617,0.64825,0.43964,0.92663,0.0003202,0.0003202,0.0003202
105,121.841,0.76897,0.56347,1.07099,0.95514,0.96787,0.99017,0.80772,0.70378,0.44704,0.93954,0.0003136,0.0003136,0.0003136
106,122.969,0.72064,0.5125,1.03537,0.94186,0.98179,0.9899,0.80274,0.71184,0.4478,0.93959,0.000307,0.000307,0.000307
107,124.131,0.74933,0.53637,1.06203,0.98001,0.93939,0.98946,0.78786,0.77555,0.46668,0.9782,0.0003004,0.0003004,0.0003004
108,125.269,0.71704,0.51577,1.05225,0.96919,0.95313,0.98934,0.77062,0.83196,0.47735,0.99713,0.0002938,0.0002938,0.0002938
109,126.404,0.71104,0.53232,1.03866,0.96935,0.95832,0.98993,0.82554,0.66754,0.45722,0.92562,0.0002872,0.0002872,0.0002872
110,127.523,0.73685,0.553,1.07575,0.95947,0.9697,0.98892,0.83194,0.61668,0.45817,0.91462,0.0002806,0.0002806,0.0002806
111,128.64,0.70968,0.53564,1.03257,0.96213,0.9697,0.98747,0.83427,0.61302,0.45851,0.9249,0.000274,0.000274,0.000274
112,129.778,0.7143,0.52308,1.06059,0.9517,0.98485,0.98745,0.82568,0.64135,0.4592,0.95518,0.0002674,0.0002674,0.0002674
113,130.908,0.72275,0.52446,1.05701,0.96798,0.98485,0.98626,0.8436,0.56097,0.45071,0.91314,0.0002608,0.0002608,0.0002608
114,132.041,0.73776,0.53832,1.07539,0.96816,0.98485,0.98508,0.84012,0.58044,0.44967,0.92033,0.0002542,0.0002542,0.0002542
