epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
71,305.943,0.3708,0.5789,0.33104,0.92969,0,0.9819,0.97656,0.99237,0.92805,0.9819,0.97656,0.99237,0.91489,0.33469,0.56415,0.27651,0.93639,0,0.000538,0.000538,0.000538
72,310.144,0.36968,0.55808,0.31795,0.91299,0,0.9618,0.98353,0.99077,0.93634,0.9618,0.98353,0.99077,0.90889,0.32583,0.60195,0.26831,0.92909,0,0.0005314,0.0005314,0.0005314
73,314.192,0.3848,0.60524,0.35182,0.92172,0,0.96881,0.99219,0.98636,0.92734,0.96881,0.99219,0.98636,0.91769,0.34467,0.56322,0.27805,0.94631,0,0.0005248,0.0005248,0.0005248
74,318.553,0.37324,0.53729,0.33351,0.92518,0,0.96919,0.9832,0.98717,0.93367,0.96919,0.9832,0.98717,0.92444,0.34493,0.54992,0.28337,0.93764,0,0.0005182,0.0005182,0.0005182
75,322.603,0.34032,0.48945,0.29817,0.90704,0,0.97434,0.98438,0.9892,0.92768,0.97434,0.98438,0.9892,0.91621,0.3575,0.58109,0.28384,0.94789,0,0.0005116,0.0005116,0.0005116
76,326.896,0.36306,0.53162,0.31982,0.90497,0,0.97672,0.98313,0.99023,0.9451,0.97672,0.98313,0.99023,0.93222,0.32058,0.54259,0.28169,0.92948,0,0.000505,0.000505,0.000505
77,331.366,0.32829,0.51883,0.29728,0.88533,0,0.97557,0.96875,0.992,0.93733,0.97557,0.96875,0.992,0.92229,0.3288,0.56648,0.28758,0.93465,0,0.0004984,0.0004984,0.0004984
78,335.52,0.34191,0.56251,0.2936,0.91406,0,0.95931,0.96875,0.9921,0.93781,0.95931,0.96875,0.9921,0.92316,0.32808,0.5439,0.28233,0.94346,0,0.0004918,0.0004918,0.0004918
79,339.69,0.35803,0.5675,0.30913,0.91314,0,0.95993,0.96875,0.99123,0.94116,0.95993,0.96875,0.99123,0.92795,0.31593,0.56247,0.28702,0.92349,0,0.0004852,0.0004852,0.0004852
80,343.905,0.3674,0.53039,0.32218,0.90418,0,0.94712,0.97955,0.98875,0.93452,0.94712,0.97955,0.98875,0.92697,0.32584,0.57289,0.29233,0.92607,0,0.0004786,0.0004786,0.0004786
81,348.013,0.35421,0.56768,0.30683,0.91289,0,0.98237,0.95312,0.98516,0.93958,0.98237,0.95312,0.98516,0.91331,0.31566,0.59548,0.28234,0.92435,0,0.000472,0.000472,0.000472
82,352.271,0.35492,0.55933,0.31585,0.91858,0,0.98323,0.96094,0.9905,0.94267,0.98323,0.96094,0.9905,0.92575,0.31322,0.58533,0.26935,0.92226,0,0.0004654,0.0004654,0.0004654
83,356.686,0.36116,0.5552,0.33002,0.91904,0,0.98855,0.97656,0.99312,0.94243,0.98855,0.97656,0.99312,0.91608,0.32154,0.57844,0.25144,0.92002,0,0.0004588,0.0004588,0.0004588
84,360.907,0.38181,0.5839,0.30826,0.91001,0,0.97515,0.98438,0.99272,0.9357,0.97515,0.98438,0.99272,0.90781,0.3409,0.5804,0.26873,0.92547,0,0.0004522,0.0004522,0.0004522
85,365.124,0.34529,0.52924,0.29062,0.89507,0,0.96536,0.97656,0.99239,0.9366,0.96536,0.97656,0.99239,0.92287,0.33679,0.60654,0.27792,0.93691,0,0.0004456,0.0004456,0.0004456
86,369.317,0.31576,0.52998,0.3011,0.8935,0,0.96133,0.97107,0.9916,0.94143,0.96133,0.97107,0.9916,0.92275,0.32451,0.58916,0.29966,0.9262,0,0.000439,0.000439,0.000439
