epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
112,332.309,0.30099,0.46897,0.27751,0.83786,0,0.9653,0.95604,0.97071,0.89206,0.9653,0.95604,0.97071,0.88427,0.377,0.79163,0.28816,0.87283,0,0.0002674,0.0002674,0.0002674
113,335.29,0.30428,0.45454,0.28853,0.84514,0,0.96551,0.95604,0.96397,0.8851,0.96551,0.95604,0.96397,0.87782,0.38016,0.78143,0.29152,0.87505,0,0.0002608,0.0002608,0.0002608
114,338.367,0.30802,0.49149,0.28312,0.84448,0,0.96626,0.95604,0.96019,0.88662,0.96626,0.95604,0.96019,0.86868,0.39249,0.76522,0.31311,0.88468,0,0.0002542,0.0002542,0.0002542
115,341.375,0.31524,0.44386,0.27297,0.84052,0,0.95495,0.95604,0.95799,0.88907,0.95495,0.95604,0.95799,0.86984,0.39149,0.75497,0.3259,0.88565,0,0.0002476,0.0002476,0.0002476
116,344.388,0.29146,0.44429,0.25668,0.82906,0,0.94607,0.96394,0.96644,0.89771,0.94607,0.96394,0.96644,0.87416,0.36816,0.73497,0.31895,0.87304,0,0.000241,0.000241,0.000241
117,347.402,0.28906,0.42207,0.2501,0.82329,0,0.94471,0.96703,0.96582,0.89185,0.94471,0.96703,0.96622,0.8761,0.35512,0.74914,0.30736,0.87622,0,0.0002344,0.0002344,0.0002344
118,350.417,0.3449,0.51312,0.29371,0.85301,0,0.94496,0.97802,0.96452,0.89351,0.94496,0.97802,0.96505,0.87269,0.36287,0.73121,0.30858,0.86738,0,0.0002278,0.0002278,0.0002278
119,353.503,0.31774,0.49549,0.30432,0.8528,0,0.93677,0.97687,0.97005,0.90469,0.93677,0.97687,0.97038,0.87363,0.3463,0.74643,0.30325,0.85015,0,0.0002212,0.0002212,0.0002212
120,356.513,0.27393,0.42869,0.25408,0.82622,0,0.93675,0.97657,0.97878,0.91427,0.93675,0.97657,0.97878,0.88052,0.34899,0.78106,0.30334,0.84637,0,0.0002146,0.0002146,0.0002146
121,359.53,0.29529,0.43769,0.26446,0.85289,0,0.93371,0.96703,0.98027,0.90514,0.93371,0.96703,0.98027,0.886,0.36748,0.763,0.30713,0.87481,0,0.000208,0.000208,0.000208
